"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size","Param: strSize"
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,1412712.046795,28723.195054,"ops/s",10,0
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,1954875.466392,24238.717436,"ops/s",10,10
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,1979038.423900,20759.966186,"ops/s",10,30
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,1987402.392813,6541.881305,"ops/s",10,50
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,307750.746282,5414.109183,"ops/s",50,0
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,432060.159115,3264.703571,"ops/s",50,10
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,438984.462173,6417.460919,"ops/s",50,30
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,337989.628566,1346.256474,"ops/s",50,50
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,132386.090577,1870.202520,"ops/s",100,0
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,227559.905871,2205.005125,"ops/s",100,10
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,226829.182631,2450.557571,"ops/s",100,30
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,161654.552516,471.702334,"ops/s",100,50
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,26328.377776,131.191810,"ops/s",500,0
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,46184.655873,267.157896,"ops/s",500,10
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,35400.102574,392.155568,"ops/s",500,30
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,36049.970639,135.190679,"ops/s",500,50
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,12584.256609,52.048602,"ops/s",1000,0
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,23588.325293,318.779309,"ops/s",1000,10
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,17860.090320,106.909188,"ops/s",1000,30
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,17684.743908,109.187110,"ops/s",1000,50
