"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size","Param: strSize"
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,1533915.757867,6053.951235,"ops/s",10,0
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,1960692.575083,7353.455149,"ops/s",10,10
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,1973944.511966,11396.588438,"ops/s",10,30
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,1965561.230165,7406.019759,"ops/s",10,50
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,301357.905957,1503.046676,"ops/s",50,0
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,428514.491629,948.036097,"ops/s",50,10
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,423638.233639,2602.992311,"ops/s",50,30
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,327207.886171,2556.894638,"ops/s",50,50
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,133992.908792,2267.587919,"ops/s",100,0
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,228635.357965,620.150000,"ops/s",100,10
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,226627.722130,2136.246034,"ops/s",100,30
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,162850.292354,1765.653222,"ops/s",100,50
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,26560.076219,111.818302,"ops/s",500,0
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,46913.070751,85.439088,"ops/s",500,10
