"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size","Param: strSize"
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,1293401.337509,19065.033128,"ops/s",10,0
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,1783466.096090,27593.795030,"ops/s",10,10
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,1758475.675571,39949.613743,"ops/s",10,30
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,1756109.042625,22369.171729,"ops/s",10,50
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,286897.657238,4943.133201,"ops/s",50,0
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,419033.570697,9867.727151,"ops/s",50,10
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,408380.659127,10499.535012,"ops/s",50,30
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,331492.587292,9062.302474,"ops/s",50,50
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,121706.177952,1428.453882,"ops/s",100,0
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,219067.849351,4281.718206,"ops/s",100,10
"org.apache.ignite.internal.benchmarks.jmh.binary.JmhBinaryUnmarshallingPlatformBenchmark.testUnmarshalling","thrpt",1,20,215531.582144,4663.690257,"ops/s",100,30
